fitmethod,antigenicdist,aaver,adjver,featureType,protein_name,virus,lower,Median,upper
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS4B,DENV1/THAILAND/1994/00532/94,0.47557960396706467,0.5794502114978678,0.6629367905691956
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS1,DENV1/THAILAND/1994/00532/94,0.9084378728379442,0.9617021104383441,1.0174690429212594
nnls,thai_map,AA,adj_none,aasub,anchored_capsid_protein_C,DENV1/THAILAND/1994/00532/94,1.2346733271777648,1.262000113820791,1.2952368435233685
nnls,thai_map,AA,adj_none,aasub,membrane_glycoprotein_M,DENV1/THAILAND/1994/00532/94,1.2391862630095023,1.2682929200890318,1.3030993537668896
nnls,thai_map,AA,adj_none,aasub,membrane_glycoprotein_precursor_M,DENV1/THAILAND/1994/00532/94,1.247994096986372,1.2753995834659961,1.3057253114322123
nnls,thai_map,AA,adj_none,aasub,protein_2K,DENV1/THAILAND/1994/00532/94,1.2525166304580386,1.2806034184437212,1.3168198442892207
nnls,thai_map,AA,adj_none,aasub,capsid_protein_C,DENV1/THAILAND/1994/00532/94,1.2549527298665084,1.2820310729647204,1.317022485802243
nnls,thai_map,AA,adj_none,aasub,protein_pr,DENV1/THAILAND/1994/00532/94,1.2593410684372346,1.285709980814304,1.3180297992139134
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS2B,DENV1/THAILAND/1994/00532/94,1.2644622519724087,1.2922917661202917,1.3280639336499962
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS4A,DENV1/THAILAND/1994/00532/94,1.265631585277819,1.2970139781255394,1.334176802309536
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS3,DENV1/THAILAND/1994/00532/94,1.2717057439640573,1.2975241314688466,1.328881281757916
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS2A,DENV1/THAILAND/1994/00532/94,1.2991798865653648,1.3260248840999358,1.3618365309319427
nnls,thai_map,AA,adj_none,aasub,envelope_protein_E,DENV1/THAILAND/1994/00532/94,1.3489529634047615,1.37405244877333,1.4113093564894865
nnls,thai_map,AA,adj_none,aasub,RNA-dependent_RNA_polymerase_NS5,DENV1/THAILAND/1994/00532/94,1.3686362949889217,1.3943632454941048,1.428980934119068
nnls,thai_map,AA,adj_none,aasub,RNA-dependent_RNA_polymerase_NS5,DENV1/THAILAND/1994/00817/94,0.4000395847582725,0.5336537833810697,1.0001464769767707
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS2A,DENV1/THAILAND/1994/00817/94,0.545198058657139,0.6171104346974019,0.7209068659871813
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS3,DENV1/THAILAND/1994/00817/94,0.5195981724081412,0.7264678062412596,1.04060487350982
nnls,thai_map,AA,adj_none,aasub,envelope_protein_E,DENV1/THAILAND/1994/00817/94,0.1814228772143499,0.8466734910903126,0.9688218263479009
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS1,DENV1/THAILAND/1994/00817/94,0.9724749131365457,1.0492553878544604,1.113477868597944
nnls,thai_map,AA,adj_none,aasub,protein_pr,DENV1/THAILAND/1994/00817/94,1.1210472717377657,1.1527439642112263,1.186978219092671
nnls,thai_map,AA,adj_none,aasub,membrane_glycoprotein_precursor_M,DENV1/THAILAND/1994/00817/94,1.1290544158254288,1.1941053372867663,1.2507374963260158
nnls,thai_map,AA,adj_none,aasub,anchored_capsid_protein_C,DENV1/THAILAND/1994/00817/94,1.20885899817828,1.2404754257244104,1.2754505912793017
nnls,thai_map,AA,adj_none,aasub,capsid_protein_C,DENV1/THAILAND/1994/00817/94,1.2666580818853423,1.2966937391011872,1.334764402187178
nnls,thai_map,AA,adj_none,aasub,protein_2K,DENV1/THAILAND/1994/00817/94,1.4022468515080795,1.4339325785988781,1.4679639925811023
nnls,thai_map,AA,adj_none,aasub,membrane_glycoprotein_M,DENV1/THAILAND/1994/00817/94,1.391529639965396,1.4351949802395723,1.4800365781449918
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS2B,DENV1/THAILAND/1994/00817/94,1.4119866653990203,1.4463522429805136,1.4789458597069531
